entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Uruapan,17490.0,17490.0,0.0,104742.2,5.99,2020,7
Michoacán,Vista Hermosa,2.0,0.0,0.0,0.0,0.0,2020,7
Michoacán,Yurécuaro,7.0,2.0,0.0,15.31,7.66,2020,7
Michoacán,Zacapu,3910.0,2962.0,0.0,19143.53,6.46,2020,7
Michoacán,Zinapécuaro,140.0,57.0,0.0,410.0,7.19,2020,7
Michoacán,Ziracuaretiro,5225.0,5225.0,0.0,32721.56,6.26,2020,7
Michoacán,Zitácuaro,1325.0,909.05,0.0,4705.77,5.18,2020,7
Total,Total,169939.45,165574.46,0.0,1009436.05,6.1,2020,7
Michoacán,Acuitzio,2007.0,1842.0,0.0,11705.0,6.35,2020,8
Michoacán,Aguililla,45.0,36.0,0.0,225.5,6.26,2020,8
Michoacán,Apatzingán,981.0,644.0,0.0,4294.2,6.67,2020,8
Michoacán,Aquila,5.0,5.0,0.0,8.65,1.73,2020,8
Michoacán,Ario,16226.0,15858.0,0.0,106220.0,6.7,2020,8
Michoacán,Coalcomán de Vázquez Pallares,523.0,478.0,0.0,2652.0,5.55,2020,8
Michoacán,Coeneo,55.0,35.0,0.0,275.48,7.87,2020,8
Michoacán,Copándaro,4.0,4.0,0.0,27.5,6.88,2020,8
Michoacán,Cotija,2544.0,2533.0,0.0,17149.89,6.77,2020,8
Michoacán,Charapan,1780.0,1780.0,0.0,11000.0,6.18,2020,8
Michoacán,Charo,44.0,32.0,0.0,190.0,5.94,2020,8
Michoacán,Chilchota,1331.0,1321.0,0.0,8346.66,6.32,2020,8
Michoacán,Chinicuila,94.0,94.0,0.0,177.71,1.89,2020,8
Michoacán,Erongarícuaro,686.0,642.0,0.0,5302.0,8.26,2020,8
Michoacán,Hidalgo,51.0,51.0,0.0,200.0,3.92,2020,8
Michoacán,Huiramba,218.0,197.0,0.0,1185.5,6.02,2020,8
Michoacán,Indaparapeo,5.0,3.0,0.0,17.0,5.67,2020,8
Michoacán,Irimbo,182.0,138.38,0.0,543.37,3.93,2020,8
Michoacán,Jiménez,560.0,500.0,0.0,3957.6,7.92,2020,8
Michoacán,Jiquilpan,150.0,70.0,0.0,540.0,7.71,2020,8
Michoacán,Juárez,40.0,40.0,0.0,150.93,3.77,2020,8
Michoacán,Jungapeo,23.5,23.5,0.0,175.0,7.45,2020,8
Michoacán,Lagunillas,37.0,26.0,0.0,165.5,6.37,2020,8
Michoacán,Madero,1665.0,1438.0,0.0,11750.0,8.17,2020,8
Michoacán,Maravatío,9.0,9.0,0.0,59.0,6.56,2020,8
Michoacán,Morelia,1369.0,1198.0,0.0,9063.0,7.57,2020,8
