Anio,Idestado,Nomestado,Volumenproduccion,Precio,Valorproduccion
1981,30,Veracruz,39733.0,16.49,655157.0
1981,30,Veracruz,180.0,20.04,3608.0
1981,28,Tamaulipas,2050.0,12.59,25801.0
1981,3,Baja California Sur,315.0,16.07,5062.0
1981,26,Sonora,412.0,8.0,3296.0
1981,25,Sinaloa,2098.0,7.0,14686.0
1981,25,Sinaloa,31404.0,7.28,228684.0
1981,24,San Luis Potosí,966.0,18.0,17388.0
1981,22,Querétaro,1760.0,16.0,28160.0
1981,27,Tabasco,1550.0,6.0,9300.0
1981,22,Querétaro,2066.0,16.0,33056.0
1982,16,Michoacán,4914.0,21.75,106870.0
1982,16,Michoacán,186179.0,22.23,4138387.0
1982,15,México,2830.0,26.19,74118.0
1982,15,México,26005.0,24.79,644716.0
1982,14,Jalisco,4054.0,26.93,109174.0
1982,14,Jalisco,24964.0,24.72,617060.0
1982,13,Hidalgo,912.0,16.3,14866.0
1982,13,Hidalgo,2280.0,16.2,36936.0
1982,12,Guerrero,1355.0,27.4,37130.0
1982,17,Morelos,1712.0,26.0,44512.0
1982,11,Guanajuato,540.0,18.0,9720.0
1982,11,Guanajuato,11399.0,18.0,205182.0
1982,10,Durango,546.0,18.3,9992.0
1982,7,Chiapas,36756.0,8.5,312426.0
1982,6,Colima,2298.0,18.0,41364.0
1982,4,Campeche,2392.0,10.0,23920.0
1982,4,Campeche,28.0,10.0,280.0
1982,3,Baja California Sur,374.0,17.2,6433.0
1982,12,Guerrero,10539.0,29.5,310901.0
1982,17,Morelos,5935.0,22.0,130570.0
1982,20,Oaxaca,397.0,31.0,12307.0
1982,18,Nayarit,6720.0,13.78,92588.0
1982,1,Aguascalientes,300.0,40.0,12000.0
1982,32,Zacatecas,435.0,17.7,7700.0
1982,31,Yucatán,5635.0,18.0,101430.0
1982,31,Yucatán,2952.0,18.0,53136.0
1982,30,Veracruz,29136.0,30.0,874080.0
1982,30,Veracruz,229.0,22.79,5219.0
1982,28,Tamaulipas,2579.0,17.6,45398.0
1982,18,Nayarit,2760.0,14.5,40020.0
1982,27,Tabasco,1341.0,8.0,10728.0
1982,25,Sinaloa,2118.0,9.4,19916.0
1982,25,Sinaloa,12211.0,9.4,114820.0
1982,24,San Luis Potosí,2957.0,24.91,73647.0
1982,22,Querétaro,1612.0,25.0,40300.0
1982,21,Puebla,17444.0,22.1,385443.0
1982,21,Puebla,24033.0,18.66,448336.0
1982,20,Oaxaca,38023.0,40.0,1520920.0
1982,19,Nuevo León,5367.0,27.28,146422.0
1982,26,Sonora,371.0,10.39,3853.0
1982,22,Querétaro,1505.0,30.0,45150.0
1983,1,Aguascalientes,36.0,83.33,3000.0
1983,3,Baja California Sur,592.0,59.62,35295.0
1983,4,Campeche,2112.0,25.0,52800.0
1983,18,Nayarit,1954.0,20.93,40899.0
1983,19,Nuevo León,4392.0,57.33,251789.0
1983,20,Oaxaca,536.0,51.2,27443.0
1983,20,Oaxaca,19001.0,55.6,1056456.0
