entidad,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Colima,773.5,0.0,0.0,0.0,0.0,2018,2
Chiapas,3281.0,103.0,0.0,179.35,1.74,2018,2
Durango,1084.23,0.0,0.0,0.0,0.0,2018,2
Guanajuato,292.0,142.0,0.0,704.82,4.96,2018,2
Guerrero,4272.98,217.8,0.0,863.03,3.96,2018,2
Hidalgo,861.7,0.0,0.0,0.0,0.0,2018,2
Jalisco,22533.83,3150.2,0.0,12877.36,4.09,2018,2
México,9977.67,723.0,0.0,6842.14,9.46,2018,2
Michoacán,166511.84,149357.52,0.0,355652.65,2.38,2018,2
Morelos,5442.7,61.5,0.0,461.73,7.51,2018,2
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,2
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,2
Oaxaca,3221.58,867.52,0.0,1026.92,1.18,2018,2
Puebla,2974.45,961.3,0.0,2295.94,2.39,2018,2
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,2
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,2
Sinaloa,13.5,0.0,0.0,0.0,0.0,2018,2
Sonora,30.0,0.0,0.0,0.0,0.0,2018,2
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,2
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,2
Veracruz,962.0,12.0,0.0,35.0,2.92,2018,2
Yucatán,385.65,24.6,0.0,661.54,26.89,2018,2
Zacatecas,43.0,0.0,0.0,0.0,0.0,2018,2
Total,231028.04,155620.44,0.0,381600.48,2.45,2018,2
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,3
Baja California,46.75,0.0,0.0,0.0,0.0,2018,3
Baja California Sur,168.0,0.0,0.0,0.0,0.0,2018,3
Campeche,80.5,0.0,0.0,0.0,0.0,2018,3
Colima,773.5,0.0,0.0,0.0,0.0,2018,3
Chiapas,3281.0,103.0,0.0,326.6,3.17,2018,3
Durango,1084.23,0.0,0.0,0.0,0.0,2018,3
Guanajuato,292.0,142.0,0.0,704.82,4.96,2018,3
Guerrero,4272.98,491.05,0.0,2754.23,5.61,2018,3
Hidalgo,861.7,0.0,0.0,0.0,0.0,2018,3
Jalisco,22533.83,4131.52,0.0,18221.37,4.41,2018,3
México,9977.67,736.9,0.0,7019.86,9.53,2018,3
Michoacán,166511.84,150317.52,0.0,528901.59,3.52,2018,3
Morelos,5442.7,100.0,0.0,710.87,7.11,2018,3
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,3
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,3
Oaxaca,3221.58,918.15,0.0,1337.92,1.46,2018,3
Puebla,2974.45,1060.3,0.0,2694.94,2.54,2018,3
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,3
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,3
Sinaloa,13.5,0.0,0.0,0.0,0.0,2018,3
Sonora,30.0,0.0,0.0,0.0,0.0,2018,3
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,3
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,3
Veracruz,962.0,82.0,0.0,417.1,5.09,2018,3
Yucatán,385.65,41.7,0.0,972.01,23.31,2018,3
Zacatecas,43.0,0.0,0.0,0.0,0.0,2018,3
Total,231028.04,158124.14,0.0,564061.31,3.57,2018,3
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,4
Baja California,46.75,0.0,0.0,0.0,0.0,2018,4
Baja California Sur,168.0,0.0,0.0,0.0,0.0,2018,4
Campeche,80.5,0.0,0.0,0.0,0.0,2018,4
Colima,773.5,721.5,0.0,2613.45,3.62,2018,4
Chiapas,3281.0,152.0,0.0,548.3,3.61,2018,4
Durango,1084.23,0.0,0.0,0.0,0.0,2018,4
Guanajuato,292.0,142.0,0.0,704.82,4.96,2018,4
Guerrero,4272.98,1116.59,0.0,5705.0,5.11,2018,4
Hidalgo,861.7,0.0,0.0,0.0,0.0,2018,4
Jalisco,22533.83,10728.04,0.0,39077.34,3.64,2018,4
México,9977.67,933.9,0.0,9321.88,9.98,2018,4
Michoacán,166511.84,150383.72,0.0,665755.8,4.43,2018,4
Morelos,5442.7,634.4,0.0,3052.05,4.81,2018,4
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,4
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,4
Oaxaca,3221.58,983.9,0.0,1594.56,1.62,2018,4
Puebla,2974.45,1061.3,0.0,4562.65,4.3,2018,4
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,4
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,4
Sinaloa,13.5,0.0,0.0,0.0,0.0,2018,4
Sonora,30.0,0.0,0.0,0.0,0.0,2018,4
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,4
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,4
